любимец # Один талантливый, другой, | Любимец взбалмошной удачи, | А третий наглый, молодой, | Меняет женщин, тачки, дачи…</s>
в разворот волны # Вещи — для всего народа, | строки — на размер страны, | вровень звездам небосвода, | в разворот морской волны.</s>
для всего народа # Вещи — для всего народа, | строки — на размер страны, | вровень звездам небосвода, | в разворот морской волны.</s>
на размер страны # Вещи — для всего народа, | строки — на размер страны, | вровень звездам небосвода, | в разворот морской волны.</s>
в восточной сказке # Глупец наказан, мудрый награжден. | Творятся чудеса у Алладина. | Магриб - колдун зловещий побежден. | И ремесло на службе господина.</s>
глупец # Глупец наказан, мудрый награжден. | Творятся чудеса у Алладина. | Магриб - колдун зловещий побежден. | И ремесло на службе господина.</s>
господин # Глупец наказан, мудрый награжден. | Творятся чудеса у Алладина. | Магриб - колдун зловещий побежден. | И ремесло на службе господина.</s>
на службе господина # Глупец наказан, мудрый награжден. | Творятся чудеса у Алладина. | Магриб - колдун зловещий побежден. | И ремесло на службе господина.</s>
у алладина # Глупец наказан, мудрый награжден. | Творятся чудеса у Алладина. | Магриб - колдун зловещий побежден. | И ремесло на службе господина.</s>
шиш # Присное и пресное, | Шиш да ни шиша. | Пятнышко небесное, | Блудная душа.</s>
пятнышко # Присное и пресное, | Шиш да ни шиша. | Пятнышко небесное, | Блудная душа.</s>
блудная душа # Присное и пресное, | Шиш да ни шиша. | Пятнышко небесное, | Блудная душа.</s>
близнец # Жара и лето - близнецы, | Там пляж, река, кусты. | Что загрустили здесь, отцы, | В загран листы чисты.</s>
в загран # Жара и лето - близнецы, | Там пляж, река, кусты. | Что загрустили здесь, отцы, | В загран листы чисты.</s>
отец # Жара и лето - близнецы, | Там пляж, река, кусты. | Что загрустили здесь, отцы, | В загран листы чисты.</s>
лист # Жара и лето - близнецы, | Там пляж, река, кусты. | Что загрустили здесь, отцы, | В загран листы чисты.</s>
жара # Жара и лето - близнецы, | Там пляж, река, кусты. | Что загрустили здесь, отцы, | В загран листы чисты.</s>
верное слово # Конкретно, честно и отважно | Всё верным словом называем, | Что для сознании столь важно, | Когда мы суть им раскрываем.</s>
в стихах # Конкретно, честно и отважно | Всё верным словом называем, | Что для сознании столь важно, | Когда мы суть им раскрываем.</s>
суть # Конкретно, честно и отважно | Всё верным словом называем, | Что для сознании столь важно, | Когда мы суть им раскрываем.</s>
для сознании # Конкретно, честно и отважно | Всё верным словом называем, | Что для сознании столь важно, | Когда мы суть им раскрываем.</s>
афоризм # Конкретно, честно и отважно | Всё верным словом называем, | Что для сознании столь важно, | Когда мы суть им раскрываем.</s>
взгляд # Но как же мне его хранить, | Когда с тобой мы рядом? | Но как же мне его хранить, | С тобой встречаясь взглядом?</s>
на путина # Те и те нарочно слепы - | С меньшим злом у них разлад: | Те - на Путина свирепы. | Те - антиковид клеймят.</s>
дурковид # Те и те нарочно слепы - | С меньшим злом у них разлад: | Те - на Путина свирепы. | Те - антиковид клеймят.</s>
антиковид # Те и те нарочно слепы - | С меньшим злом у них разлад: | Те - на Путина свирепы. | Те - антиковид клеймят.</s>
с меньшим злом # Те и те нарочно слепы - | С меньшим злом у них разлад: | Те - на Путина свирепы. | Те - антиковид клеймят.</s>
солдатская масса # Прошло не боле получаса, | Как полк приня;л походный вид, | И вновь солдатская вся масса, | Не вспоминая всех обид</s>
получас # Прошло не боле получаса, | Как полк приня;л походный вид, | И вновь солдатская вся масса, | Не вспоминая всех обид</s>
более # Прошло не боле получаса, | Как полк приня;л походный вид, | И вновь солдатская вся масса, | Не вспоминая всех обид</s>
обида # Прошло не боле получаса, | Как полк приня;л походный вид, | И вновь солдатская вся масса, | Не вспоминая всех обид</s>
в голове # Ты целовал а я вдыхала | Твой запах этот не земной | И в голове я представляла | Как будем счастливы с тобой</s>
земляничка # Ты целовал а я вдыхала | Твой запах этот не земной | И в голове я представляла | Как будем счастливы с тобой</s>
запах # Ты целовал а я вдыхала | Твой запах этот не земной | И в голове я представляла | Как будем счастливы с тобой</s>
губа # Ты целовал а я вдыхала | Твой запах этот не земной | И в голове я представляла | Как будем счастливы с тобой</s>
излишек # Мелькают старые названья, | тебе известные давно. | Излишков света и мерцанья | не даст небесное рядно.</s>
на рождество # Мелькают старые названья, | тебе известные давно. | Излишков света и мерцанья | не даст небесное рядно.</s>
поездка # Мелькают старые названья, | тебе известные давно. | Излишков света и мерцанья | не даст небесное рядно.</s>
небесное рядно # Мелькают старые названья, | тебе известные давно. | Излишков света и мерцанья | не даст небесное рядно.</s>
старое названье # Мелькают старые названья, | тебе известные давно. | Излишков света и мерцанья | не даст небесное рядно.</s>
любимый размер # Но есть такая красота, | Что одолеет все барьеры: | Мои любимые цвета, | Мои любимые размеры.</s>
барьер # Но есть такая красота, | Что одолеет все барьеры: | Мои любимые цвета, | Мои любимые размеры.</s>
любимый цвет # Но есть такая красота, | Что одолеет все барьеры: | Мои любимые цвета, | Мои любимые размеры.</s>
красота # Но есть такая красота, | Что одолеет все барьеры: | Мои любимые цвета, | Мои любимые размеры.</s>
огромная , рука # То ты неряха, то гигант | Живот огромный, те же руки | То неудачный музыкант | Все говорят, с тобой лишь муки</s>
неудачный музыкант # То ты неряха, то гигант | Живот огромный, те же руки | То неудачный музыкант | Все говорят, с тобой лишь муки</s>
гигант # То ты неряха, то гигант | Живот огромный, те же руки | То неудачный музыкант | Все говорят, с тобой лишь муки</s>
живот # То ты неряха, то гигант | Живот огромный, те же руки | То неудачный музыкант | Все говорят, с тобой лишь муки</s>
мука # То ты неряха, то гигант | Живот огромный, те же руки | То неудачный музыкант | Все говорят, с тобой лишь муки</s>
ошейник # Ошейник сняли с бегемота, | Почти впритык и, ничего. | Он, молодец, его работа, | Быть рядом, чтоб любить его.</s>
толстун # Ошейник сняли с бегемота, | Почти впритык и, ничего. | Он, молодец, его работа, | Быть рядом, чтоб любить его.</s>
с бегемота # Ошейник сняли с бегемота, | Почти впритык и, ничего. | Он, молодец, его работа, | Быть рядом, чтоб любить его.</s>
добряк # Ошейник сняли с бегемота, | Почти впритык и, ничего. | Он, молодец, его работа, | Быть рядом, чтоб любить его.</s>
плакать # Я вышивала и пела! | Плакала- нитка рвалась. | Не получалось- терпела. | Снова за дело бралась!</s>
нитка # Я вышивала и пела! | Плакала- нитка рвалась. | Не получалось- терпела. | Снова за дело бралась!</s>
за дело # Я вышивала и пела! | Плакала- нитка рвалась. | Не получалось- терпела. | Снова за дело бралась!</s>
в друзей отца # в чужие близкие сердца | губами рылом дулом | в друзей в умершего отца | ослом кобылой мулом</s>
отражение # в чужие близкие сердца | губами рылом дулом | в друзей в умершего отца | ослом кобылой мулом</s>
кобыла # в чужие близкие сердца | губами рылом дулом | в друзей в умершего отца | ослом кобылой мулом</s>
в умершего отца # в чужие близкие сердца | губами рылом дулом | в друзей в умершего отца | ослом кобылой мулом</s>
в чужие близкие сердца # в чужие близкие сердца | губами рылом дулом | в друзей в умершего отца | ослом кобылой мулом</s>
божественная рука # По мановению божественной руки | Из пустоты идут поставки материалов | На стройку мира, и грохочут молотки, | И пыль столбом от неуклюжих самосвалов.</s>
по мановению руки # По мановению божественной руки | Из пустоты идут поставки материалов | На стройку мира, и грохочут молотки, | И пыль столбом от неуклюжих самосвалов.</s>
сотворение # По мановению божественной руки | Из пустоты идут поставки материалов | На стройку мира, и грохочут молотки, | И пыль столбом от неуклюжих самосвалов.</s>
из пустоты # По мановению божественной руки | Из пустоты идут поставки материалов | На стройку мира, и грохочут молотки, | И пыль столбом от неуклюжих самосвалов.</s>
на стройку мира # По мановению божественной руки | Из пустоты идут поставки материалов | На стройку мира, и грохочут молотки, | И пыль столбом от неуклюжих самосвалов.</s>
звездочка # И в прореху покрывала | Ночи, что чернил черней, | Светом голубым сияла | Звёздочка среди теней.</s>
лунность # И в прореху покрывала | Ночи, что чернил черней, | Светом голубым сияла | Звёздочка среди теней.</s>
среди теней # И в прореху покрывала | Ночи, что чернил черней, | Светом голубым сияла | Звёздочка среди теней.</s>
в прореху # И в прореху покрывала | Ночи, что чернил черней, | Светом голубым сияла | Звёздочка среди теней.</s>
свет голубой # И в прореху покрывала | Ночи, что чернил черней, | Светом голубым сияла | Звёздочка среди теней.</s>
за чертой # Когда терпение за гранью, за чертой, | Когда глаза открыты, а картинки нет, | Когда всё стало бесполезной суетой - | Одно касание, включить способно свет</s>
терпение # Когда терпение за гранью, за чертой, | Когда глаза открыты, а картинки нет, | Когда всё стало бесполезной суетой - | Одно касание, включить способно свет</s>
картинка # Когда терпение за гранью, за чертой, | Когда глаза открыты, а картинки нет, | Когда всё стало бесполезной суетой - | Одно касание, включить способно свет</s>
за гранью # Когда терпение за гранью, за чертой, | Когда глаза открыты, а картинки нет, | Когда всё стало бесполезной суетой - | Одно касание, включить способно свет</s>
бесполезная суета # Когда терпение за гранью, за чертой, | Когда глаза открыты, а картинки нет, | Когда всё стало бесполезной суетой - | Одно касание, включить способно свет</s>
бедро # Не прижимай меня к себе, | И гладить бедра не пытайся. | К твоей бандитской голытьбе | Не прислонюсь, не изголяйся.</s>
буян # Не прижимай меня к себе, | И гладить бедра не пытайся. | К твоей бандитской голытьбе | Не прислонюсь, не изголяйся.</s>
к бандитской голытьбе # Не прижимай меня к себе, | И гладить бедра не пытайся. | К твоей бандитской голытьбе | Не прислонюсь, не изголяйся.</s>
энергия # СудьбА Елену сохранИла - | на РАДость дОченьки своЕй! | ЛЕНа ж ФарИта полюбИла - | душОй изРАненною ВСЕЙ!</s>
доченька # СудьбА Елену сохранИла - | на РАДость дОченьки своЕй! | ЛЕНа ж ФарИта полюбИла - | душОй изРАненною ВСЕЙ!</s>
судьба # СудьбА Елену сохранИла - | на РАДость дОченьки своЕй! | ЛЕНа ж ФарИта полюбИла - | душОй изРАненною ВСЕЙ!</s>
душой израненный # СудьбА Елену сохранИла - | на РАДость дОченьки своЕй! | ЛЕНа ж ФарИта полюбИла - | душОй изРАненною ВСЕЙ!</s>
на радость # СудьбА Елену сохранИла - | на РАДость дОченьки своЕй! | ЛЕНа ж ФарИта полюбИла - | душОй изРАненною ВСЕЙ!</s>
яркое свечение # Нет чувства радужных картин, | Звёзд яркого свечения, | Чуть, в Ад, душой и мрак один… | Мотив - самосожжения…</s>
звезда # Нет чувства радужных картин, | Звёзд яркого свечения, | Чуть, в Ад, душой и мрак один… | Мотив - самосожжения…</s>
чувство # Нет чувства радужных картин, | Звёзд яркого свечения, | Чуть, в Ад, душой и мрак один… | Мотив - самосожжения…</s>
мотив самосожжения # Нет чувства радужных картин, | Звёзд яркого свечения, | Чуть, в Ад, душой и мрак один… | Мотив - самосожжения…</s>
радужная картина # Нет чувства радужных картин, | Звёзд яркого свечения, | Чуть, в Ад, душой и мрак один… | Мотив - самосожжения…</s>
мольба # Я охватил все мечтанья | дали, алеющей — там. | Реют мольбы очертанья, | вторя склоненным цветам.</s>
очертаний # Я охватил все мечтанья | дали, алеющей — там. | Реют мольбы очертанья, | вторя склоненным цветам.</s>
мечтанье # Я охватил все мечтанья | дали, алеющей — там. | Реют мольбы очертанья, | вторя склоненным цветам.</s>
склоненный цветы # Я охватил все мечтанья | дали, алеющей — там. | Реют мольбы очертанья, | вторя склоненным цветам.</s>
ярость # Пред боем он входил в экстаз, | Напившись мухоморной браги. | Примером в сагах он не раз | Как символ ярости, отваги.</s>
мухоморная брага # Пред боем он входил в экстаз, | Напившись мухоморной браги. | Примером в сагах он не раз | Как символ ярости, отваги.</s>
в экстаз # Пред боем он входил в экстаз, | Напившись мухоморной браги. | Примером в сагах он не раз | Как символ ярости, отваги.</s>
мистика # Пред боем он входил в экстаз, | Напившись мухоморной браги. | Примером в сагах он не раз | Как символ ярости, отваги.</s>
пред боем # Пред боем он входил в экстаз, | Напившись мухоморной браги. | Примером в сагах он не раз | Как символ ярости, отваги.</s>
с утра # И с утра метелит смело, | Не желая отступать, | Как зиме не надоело, | Солнце тёплое стращать!</s>
солнце # И с утра метелит смело, | Не желая отступать, | Как зиме не надоело, | Солнце тёплое стращать!</s>
зима # И с утра метелит смело, | Не желая отступать, | Как зиме не надоело, | Солнце тёплое стращать!</s>
ребенок # Ну один ребенок, ну два | А уж третий- зачем оно ей! | Говорила людская молва, | Многодетных судя матерей.</s>
людская молва # Ну один ребенок, ну два | А уж третий- зачем оно ей! | Говорила людская молва, | Многодетных судя матерей.</s>
клумба # Ну один ребенок, ну два | А уж третий- зачем оно ей! | Говорила людская молва, | Многодетных судя матерей.</s>
звание # Награды, какие вручали, | Звания он, что получал. | Части, куда направляли, | Присягу, когда принимал.</s>
часть # Награды, какие вручали, | Звания он, что получал. | Части, куда направляли, | Присягу, когда принимал.</s>
служебная книжка # Награды, какие вручали, | Звания он, что получал. | Части, куда направляли, | Присягу, когда принимал.</s>
присяга # Награды, какие вручали, | Звания он, что получал. | Части, куда направляли, | Присягу, когда принимал.</s>
награда # Награды, какие вручали, | Звания он, что получал. | Части, куда направляли, | Присягу, когда принимал.</s>
пачка # Отнял у Вовы пачку | Душистых папирос. | Ты что ли спёр заначку, | Что я вчера принес?</s>
про школьный глобус # Отнял у Вовы пачку | Душистых папирос. | Ты что ли спёр заначку, | Что я вчера принес?</s>
у вовы # Отнял у Вовы пачку | Душистых папирос. | Ты что ли спёр заначку, | Что я вчера принес?</s>
душистый папироса # Отнял у Вовы пачку | Душистых папирос. | Ты что ли спёр заначку, | Что я вчера принес?</s>
близость # Убегает Сейма- речка | Да никак не убежит, | Близость дивного местечка | Сердце, душу теребит.</s>
сердце # Убегает Сейма- речка | Да никак не убежит, | Близость дивного местечка | Сердце, душу теребит.</s>
на бескрайние # Убегает Сейма- речка | Да никак не убежит, | Близость дивного местечка | Сердце, душу теребит.</s>
дивное местечко # Убегает Сейма- речка | Да никак не убежит, | Близость дивного местечка | Сердце, душу теребит.</s>
речка # Убегает Сейма- речка | Да никак не убежит, | Близость дивного местечка | Сердце, душу теребит.</s>
от бога # В улыбке сказочной твоей | Заключено Любви так много, | Царица самых светлых дней, | Сияй мне красотой от Бога.</s>
светлый день # В улыбке сказочной твоей | Заключено Любви так много, | Царица самых светлых дней, | Сияй мне красотой от Бога.</s>
красота # В улыбке сказочной твоей | Заключено Любви так много, | Царица самых светлых дней, | Сияй мне красотой от Бога.</s>
в улыбке # В улыбке сказочной твоей | Заключено Любви так много, | Царица самых светлых дней, | Сияй мне красотой от Бога.</s>
царица # В улыбке сказочной твоей | Заключено Любви так много, | Царица самых светлых дней, | Сияй мне красотой от Бога.</s>
лазурь # Не пропусти капели смех хрустальный, | Грачей в кустах черёмухи галдеж, | Лазури взгляд предутренний зеркальный, | Не пропусти, смотри, не уничтожь.</s>
уничтожить # Не пропусти капели смех хрустальный, | Грачей в кустах черёмухи галдеж, | Лазури взгляд предутренний зеркальный, | Не пропусти, смотри, не уничтожь.</s>
пропустить # Не пропусти капели смех хрустальный, | Грачей в кустах черёмухи галдеж, | Лазури взгляд предутренний зеркальный, | Не пропусти, смотри, не уничтожь.</s>
хрустальный смех # Не пропусти капели смех хрустальный, | Грачей в кустах черёмухи галдеж, | Лазури взгляд предутренний зеркальный, | Не пропусти, смотри, не уничтожь.</s>
в кустах черёмухи галдеж # Не пропусти капели смех хрустальный, | Грачей в кустах черёмухи галдеж, | Лазури взгляд предутренний зеркальный, | Не пропусти, смотри, не уничтожь.</s>
сердце # Прощай страна, ты далеко, | Но сердцем, я всегда с тобою, | Быть эмигрантом, не легко, | Не важно, летом и зимою.</s>
лето # Прощай страна, ты далеко, | Но сердцем, я всегда с тобою, | Быть эмигрантом, не легко, | Не важно, летом и зимою.</s>
эмигрант # Прощай страна, ты далеко, | Но сердцем, я всегда с тобою, | Быть эмигрантом, не легко, | Не важно, летом и зимою.</s>
холестерин # Нет никаких витаминов, | Пользы для организма, | Список холестеринов | Лучший друг анархизма.</s>
витамин # Нет никаких витаминов, | Пользы для организма, | Список холестеринов | Лучший друг анархизма.</s>
анархизм # Нет никаких витаминов, | Пользы для организма, | Список холестеринов | Лучший друг анархизма.</s>
для организма # Нет никаких витаминов, | Пользы для организма, | Список холестеринов | Лучший друг анархизма.</s>
лучший друг # Нет никаких витаминов, | Пользы для организма, | Список холестеринов | Лучший друг анархизма.</s>
на сполохи # Мгновением страха , на закате | Рядом взорвался разрывной снаряд | Сбив гнездо аиста осколками на хате | На сполохи срывался звукоряд</s>
на закате # Мгновением страха , на закате | Рядом взорвался разрывной снаряд | Сбив гнездо аиста осколками на хате | На сполохи срывался звукоряд</s>
гнездо аиста осколками на хате # Мгновением страха , на закате | Рядом взорвался разрывной снаряд | Сбив гнездо аиста осколками на хате | На сполохи срывался звукоряд</s>
мгновение # Мгновением страха , на закате | Рядом взорвался разрывной снаряд | Сбив гнездо аиста осколками на хате | На сполохи срывался звукоряд</s>
разрывной снаряд # Мгновением страха , на закате | Рядом взорвался разрывной снаряд | Сбив гнездо аиста осколками на хате | На сполохи срывался звукоряд</s>
колкая ресница # Лиственницы колкие ресницы | Смотрят в небо хмурое зимой. | Нет, проспект не весел, и границы | Темной отделяет полосой</s>
граница # Лиственницы колкие ресницы | Смотрят в небо хмурое зимой. | Нет, проспект не весел, и границы | Темной отделяет полосой</s>
хмурая зима # Лиственницы колкие ресницы | Смотрят в небо хмурое зимой. | Нет, проспект не весел, и границы | Темной отделяет полосой</s>
проспект # Лиственницы колкие ресницы | Смотрят в небо хмурое зимой. | Нет, проспект не весел, и границы | Темной отделяет полосой</s>
лиственница # Лиственницы колкие ресницы | Смотрят в небо хмурое зимой. | Нет, проспект не весел, и границы | Темной отделяет полосой</s>
в заботах дня # Сохрани ж в заботах дня | Ты моё светило — | Ту, что счастьем сквозь меня | Корни прорастило.</s>
корень # Сохрани ж в заботах дня | Ты моё светило — | Ту, что счастьем сквозь меня | Корни прорастило.</s>
день # Сохрани ж в заботах дня | Ты моё светило — | Ту, что счастьем сквозь меня | Корни прорастило.</s>
покрой # Солнце завесы прорвало, | Слепит пейзаж городской, | Снежное враз покрывало, | Сразу сменило покрой.</s>
солнце # Солнце завесы прорвало, | Слепит пейзаж городской, | Снежное враз покрывало, | Сразу сменило покрой.</s>
пейзаж # Солнце завесы прорвало, | Слепит пейзаж городской, | Снежное враз покрывало, | Сразу сменило покрой.</s>
весенняя стая # Солнце завесы прорвало, | Слепит пейзаж городской, | Снежное враз покрывало, | Сразу сменило покрой.</s>
завеса # Солнце завесы прорвало, | Слепит пейзаж городской, | Снежное враз покрывало, | Сразу сменило покрой.</s>
карта # И в таверне, вечерами, | Горячась, входя в азарт, | Я проворными руками | Не разбрасываю карт.</s>
в таверне # И в таверне, вечерами, | Горячась, входя в азарт, | Я проворными руками | Не разбрасываю карт.</s>
проворная рука # И в таверне, вечерами, | Горячась, входя в азарт, | Я проворными руками | Не разбрасываю карт.</s>
вечер # И в таверне, вечерами, | Горячась, входя в азарт, | Я проворными руками | Не разбрасываю карт.</s>
в азарт # И в таверне, вечерами, | Горячась, входя в азарт, | Я проворными руками | Не разбрасываю карт.</s>
к таблетке # Монетка упала к монетке, | Двери послышался скрип, | Таблетка упала к таблетке | Язык мёртво к небу прилип.</s>
к монетке # Монетка упала к монетке, | Двери послышался скрип, | Таблетка упала к таблетке | Язык мёртво к небу прилип.</s>
в храме # Монетка упала к монетке, | Двери послышался скрип, | Таблетка упала к таблетке | Язык мёртво к небу прилип.</s>
к небу прилип # Монетка упала к монетке, | Двери послышался скрип, | Таблетка упала к таблетке | Язык мёртво к небу прилип.</s>
таблетка # Монетка упала к монетке, | Двери послышался скрип, | Таблетка упала к таблетке | Язык мёртво к небу прилип.</s>
путь # Я оказалась не готова. | Но я пройду и этот путь. | Мне б только искреннее слово, | Мне б только смелости чуть-чуть.</s>
искреннее слово # Я оказалась не готова. | Но я пройду и этот путь. | Мне б только искреннее слово, | Мне б только смелости чуть-чуть.</s>
ответ # Да, шахта будет только снится, | Я далеко не безработный. | Собой могу я похвалиться, | Что интернетчик стал зачетный.</s>
шахтер # Да, шахта будет только снится, | Я далеко не безработный. | Собой могу я похвалиться, | Что интернетчик стал зачетный.</s>
интернетчик # Да, шахта будет только снится, | Я далеко не безработный. | Собой могу я похвалиться, | Что интернетчик стал зачетный.</s>
шахта # Да, шахта будет только снится, | Я далеко не безработный. | Собой могу я похвалиться, | Что интернетчик стал зачетный.</s>
вадим # Да, шахта будет только снится, | Я далеко не безработный. | Собой могу я похвалиться, | Что интернетчик стал зачетный.</s>
луна # Как звёзды вы обыкновенны | Как небо, солнце и луна | И так, как родина бесценны | Любимы также, как она</s>
солнце # Как звёзды вы обыкновенны | Как небо, солнце и луна | И так, как родина бесценны | Любимы также, как она</s>
небо # Как звёзды вы обыкновенны | Как небо, солнце и луна | И так, как родина бесценны | Любимы также, как она</s>
в пляс # И каждый пусть улыбнётся | И пустится каждый в пляс! | И песня пускай поётся, | И Боженька любит нас!</s>
песня # И каждый пусть улыбнётся | И пустится каждый в пляс! | И песня пускай поётся, | И Боженька любит нас!</s>
праздник # И каждый пусть улыбнётся | И пустится каждый в пляс! | И песня пускай поётся, | И Боженька любит нас!</s>
боженька # И каждый пусть улыбнётся | И пустится каждый в пляс! | И песня пускай поётся, | И Боженька любит нас!</s>
среда # Часто нечего жевать, | И жильё моё не терем. | Дар мне дан не выживать, | А не стать хотя бы зверем.</s>
дар # Часто нечего жевать, | И жильё моё не терем. | Дар мне дан не выживать, | А не стать хотя бы зверем.</s>
невесомость # Энергия ты и спазм, | Мой будоражащий ток, | Дрожь, невесомость, оргазм, | Ты мой - на изломе строк.</s>
на изломе строк # Энергия ты и спазм, | Мой будоражащий ток, | Дрожь, невесомость, оргазм, | Ты мой - на изломе строк.</s>
энергия # Энергия ты и спазм, | Мой будоражащий ток, | Дрожь, невесомость, оргазм, | Ты мой - на изломе строк.</s>
будоражащий ток # Энергия ты и спазм, | Мой будоражащий ток, | Дрожь, невесомость, оргазм, | Ты мой - на изломе строк.</s>
в мою любовь # Энергия ты и спазм, | Мой будоражащий ток, | Дрожь, невесомость, оргазм, | Ты мой - на изломе строк.</s>
солнце # Шумит волна не умолкая, | Идет с волнами разговор, | Приятно , вечно молодая. | А солнце дарит мне задор.</s>
задор # Шумит волна не умолкая, | Идет с волнами разговор, | Приятно , вечно молодая. | А солнце дарит мне задор.</s>
с волнами # Шумит волна не умолкая, | Идет с волнами разговор, | Приятно , вечно молодая. | А солнце дарит мне задор.</s>
волна # Шумит волна не умолкая, | Идет с волнами разговор, | Приятно , вечно молодая. | А солнце дарит мне задор.</s>
разговор # Шумит волна не умолкая, | Идет с волнами разговор, | Приятно , вечно молодая. | А солнце дарит мне задор.</s>
хрусталь # маша не нужно ситца | сита и хрусталя | так и переболится | тем и полна земля</s>
ситец # маша не нужно ситца | сита и хрусталя | так и переболится | тем и полна земля</s>
земля # маша не нужно ситца | сита и хрусталя | так и переболится | тем и полна земля</s>
сито # маша не нужно ситца | сита и хрусталя | так и переболится | тем и полна земля</s>
махать # маша не нужно ситца | сита и хрусталя | так и переболится | тем и полна земля</s>
кровать # Опустилась самолично | На мою она кровать | И давай вслух прагматично | Мне нотации читать.</s>
совесть # Опустилась самолично | На мою она кровать | И давай вслух прагматично | Мне нотации читать.</s>
нотация # Опустилась самолично | На мою она кровать | И давай вслух прагматично | Мне нотации читать.</s>
в стылом безмолвии # В стылом безмолвии, томности сонной | Мир погрузился в морозную клеть. | Землю укрыв белоснежной попоной, | Станет февраль колыбельную петь.</s>
белоснежная попона # В стылом безмолвии, томности сонной | Мир погрузился в морозную клеть. | Землю укрыв белоснежной попоной, | Станет февраль колыбельную петь.</s>
февраль # В стылом безмолвии, томности сонной | Мир погрузился в морозную клеть. | Землю укрыв белоснежной попоной, | Станет февраль колыбельную петь.</s>
сонная томности # В стылом безмолвии, томности сонной | Мир погрузился в морозную клеть. | Землю укрыв белоснежной попоной, | Станет февраль колыбельную петь.</s>
в морозную # В стылом безмолвии, томности сонной | Мир погрузился в морозную клеть. | Землю укрыв белоснежной попоной, | Станет февраль колыбельную петь.</s>
спасе # А пурга такая, Спасе, | Что воистину простор | То ли бесу, то ли массе, | То ли выстрелу в упор.</s>
в упор # А пурга такая, Спасе, | Что воистину простор | То ли бесу, то ли массе, | То ли выстрелу в упор.</s>
масса # А пурга такая, Спасе, | Что воистину простор | То ли бесу, то ли массе, | То ли выстрелу в упор.</s>
простор # А пурга такая, Спасе, | Что воистину простор | То ли бесу, то ли массе, | То ли выстрелу в упор.</s>
выстрел # А пурга такая, Спасе, | Что воистину простор | То ли бесу, то ли массе, | То ли выстрелу в упор.</s>
детство # Детство – что первый акт | пьесы жизни моей, | где рождение – факт, | смерть же – сказки скорей.</s>
