Пылай, полыхай, греши, | захлебывайся собой. | Как менада пляши | с закушенной губой.
Так базарно наше время, - | всё, что хочешь, запродашь: | демократии ли семя…, | либеральный абордаж…
Вскоре встретишься с любовью, | Увидишь в зеркале озёр, | Обласканные жизни кровью | И будет петь церковный хор.
Если он поэт, конечно, - | Не по случаю рифмач, | Относясь к судьбе беспечно, | Равнодушно - как палач.
Чтоб убедиться в том, что тьма | Свет затмевает лишь на время. | Бессильна даже смерть сама, | Когда проблем и боли бремя
Такие вести получать | Любая мама рада | О милой маме забывать | Поверьте мне, не надо!
С кем дружить, кого любить, | Выбираешь только сам, | И постель с кем разделить, | Горе радость пополам
Ты целишь в сожжённую отчую хату, | Обруганной веры бестыжий конец. | Смотри же, предатель, не страшно солдату | Принять расправы терновый венец.
Он схож с горячей печью, | Она ж — сродни снегам. | Однажды с пылкой речью | Он пал к ея ногам
Прикоснувшись ладонью к камням, | Ощущаешь загадочность снов, | Жизни смысл, уходящий к корням, | Тяжесть множества пыльных слоёв.
Но если безголоса | Ничейная строка, | Ей в сумраке вопроса | Цена невысока.
Не все, конечно, любят риск. | Про выигрыш и не мечтают. | Фортуны не вращают диск, | Но здесь другим их завлекают.
И вот, я брожу, и вбираю, и внемлю, | и - в рифму, не в рифму ли - благодарю | за данное время, за тварную землю, | за воду, деревья, траву и зарю.
Готов безмерно любоваться | Движеньем тонких рук твоих, | Готов тебе в любви признаться, | Но мир не создан для двоих.
У творческих задач - | и плюс, и минус свой: | коробка передач | и только ты герой
Наша русская жизнь не такая, - | Пусть о ней, всякий бред говорят; | Божий гнев на себя навлекая, | Звёзды быстро бесследно сгорят!
Мы воспарим в миры иные, | Где мчаться конницы комет. | И наши призраки ночные, | Преобразятся в яркий свет!
Как-то один из ментов | В общий сортир заявился. | Сел на очко без понтов, | Где по нужде облегчился.
На утро после кораблекрушения | Надрывно выли чайки на восход, | В иголки обратились все сомнения, | Надежду били туфлями в живот.
Увидав меня с собою рядом, | Сразу в себя начал приходить; | Пристальным окинул меня взглядом, | Попросил стакан воды попить.
Дым костра создает уют. | Искры гаснут в полете сами. | Пять ребят о любви поют | Чуть охрипшими голосами.
Отмеряя метрономом время, | Мы шагаем стрелками шагов, | Отбирая у пространства бремя, | Крутим механизмы из мозгов ...
А сейчас и жизнь совсем другая, | Голливудский мельтешит экран, | Вот и стонет, губы в кровь кусая, | По её итогам ветеран.
Страны «Свобод» в грядущем нет, | Она на дне застынет глухо, | Но в мире будущих сует | Есть царство духа.
без сомнения жизнь коротка, | мы приходим зачем-то на время, | жизнь потом продают с молотка | и другое меняет нас племя.
Как тут найти, ту середину | Чтобы себя не потерять | И мне оставить половину | Того, что можно подчинять
После сущего Ада | На планете людской | В смерти много ли надо? | Лишь бы вечный покой.
Школа наша обеднеет, | Если денежку не сдам? | Потому Ваш взгляд темнеет? | А давайте - пополам!
Будто дышит, отдыхает | И плывёт он сам собой, | Даже, вроде, цвет меняет, | И вздыхает, как живой
Весна, под снежным покрывалом, | Спит, Март её не разбудил. | Метель, над нею опахалом, | Всё машет, не жалея сил.
Путного выходит очень мало. | Бесполезно Путин лишь пыхтит. | Вот Мишустин выглядит устало. | Разводя руками говорит.
В ручье не смело отражалась, | Весны голубизна небес. | Трава тихонько пробивалась, | Чуть слышно просыпался лес.
Давайте настроим лучше волну, | На чистоту нашей планеты | И будем слышать природу одну, | Где ноты Света с нею воспеты.
Меж сопок, извиваясь струёй, | Кола плещет студёной волною. | Нарушая лазурный покой | Говорливой водою речною.
Вот - вот заблещет Май веселый, | Ручей призывно зажурчит, | Воспрянет к жизни тополь квелый, | Чем зимний холод омрачит.
Пусть веры мотив не смолкает | В душе, потерявшей лето, | Ведь тьма все равно растает | В лучах неземного рассвета!
Умываясь горькими слезами, | Я бесцельно проживаю день, | А в душе рождаются цунами, | И в меня вселилась скука, лень.
В еде есть гречневая каша, | из Пикши получает суп. | И под защитой наша Раша. | Политик, знают все, не глуп.
А ручьи звенят, вдогонку | им Весна помчалась вскачь, | грустно Мише чуть спросонку. | - Не горюй, дружок, не плачь.
Быть слово может золотым | Когда ясна суть и реальна | Но коль слова туман и дым | Обманна суть и виртуально
О если б я мог возвратиться | В цветущее лето бегом | И розовым духом напиться | Послушать кукушек тайком
Сто дорог предстоит нам пройти. | Может больше, о том не узнаем, | Но на глобусе, как ни крути | Нету места, где не побываем.
Война не знает поражений, | Лишь похоронки она шлёт, | Без тени страха и сомнений, | Под Землю нас она кладёт
Из проклюнувшихся в мир ростков | И румяных заспанных рассветов, | Из осипших тающих снегов | И несмелой песни первоцветов.
Скачет мяч волейбольный, резвится, | В тесный круг ребятишек собрав. | Играм можно в кружках научиться, | Много в лагере разных забав.
А знаешь, чем я заразилась, | чем вся душа поражена? | внутрь ностальгия поселилась, | заполонила всё она
То приладит вдруг невинно | Колос на корсет; | Шляпку к носу сдвинет чинно, | Перекроет свет.
В любопытстве неуёмность -- | Вечный двигатель прогресса. | Равнодушие и скромность -- | Скрытый тормоз для процесса.
Природе, в общем, всё равно, | Ты соловей или ворона. | Всему своё отведено! | Воспринимая благосклонно
Укрыла поля слоем, | Из пушистого снежка, | Выли волки , воем, | Из ближнего сосняка.
Царапая горло ногтями | Кричала она без слов. | Устала она годами | Тащить этот груз оков.
Коль родился мотыльком | Ты кружись, порхай, летай, | Но о дружбе с огоньком | Лучше даже не мечтай.
Как бы ты меня ни жалел, | я дышать едва ли смогу… | Если самолёт улетел – | вряд ли я за ним побегу!..
По лопате для работы | В огородах и садах, | Но весенние заботы | Лишь улыбки на устах
а нужно ль спину подставлять, | когда есть выход, дверь открыта | и глупо жизнь свою терять | от тех, чья злоба не прикрыта?!
В эфире всех каналов – хоровод! | Побольше праздника, поменьше фактов! | Всё толерантней загнанный народ! | И всё длиннее хроники терактов…
Недаром она так бедово, | Целуясь, мне сердце томит, | И взглядом за каждое слово, | По-женски ласкает и мстит.
Как старомодны ели-платья в пол, | Их жесты и при ветрах были тихи. | Сквозные обшлага, резной подол | Кроили златоиглые портнихи.
Пусть февраль всё ещё торжествует | И позёмку под ноги метёт, | Пусть ветрами колючими дует, | А весна в моём сердце живёт.
Ведь сильней разлук и страсти | Притяженье глаз любимых, | Не уйти от этой власти | В мир побед пустых и мнимых.
Ничто не стоит сожалений, | люби, люби, а все одно, -- | знакомств, любви и поражений | нам переставить не дано.
Не скажу тебе ни слова, | Чему быть – не миновать. | Но появишься коль снова – | Гордой я сумею стать.
Она, обиженная много, | За глупость слов и просто так. | Она, с рубцами, от ожога, | Что любит вьюжный кавардак.
Поэтому будь крепким, как стена, | А, стало быть, мужайся и крепись! | Но если возвращается волна, | Получше к своей жизни присмотрись
Печатаюсь в журналах и в газете, | То сборники стихов своих издам. | Чертовски интересно жить на свете! | Свой возраст не считаю по годам.
И вспорхнув, будто искры костра, | На лету щебеча и играя, | Они в лес улетят до утра, | Свою жизнь от мороза спасая.
И пеньем птиц наслаждаясь, | С весной встречала рассветы, | И горстью звезд рассыпаясь, | В себе искала ответы.
Здесь виной была природа, | Осень, дождик, листопад, | Крепко спал слуга народа, | Отрабатывал оклад.
Если вдруг кого обидел, | Или шуточкой поддел. | Извините, - не предвидел, | Рассмешить чуть чуть хотел.
И манят они взгляд, словно детство | Заглянуло мне снова в глаза. | Это мыслей высоких наследство | И звездой засверкала слеза.
Мне сейчас остановиться | Нужно раз и навсегда. | Мне бы не проговориться, | Что другой зовёт туда.
Все раздоры забудет, | Свергнет войны кумир, | Вечно единым будет | Наш человеческий мир!
Летят снежинки за окном, | И я сейчас с ними играю. | Порою я смотрю в альбом | И наши встречи вспоминаю.
А в Кремле как обстановка? | В курсе князь, как жизнь кругом? | Раньше всё ж была страховка, | Были послухи тайком.
Если не сможешь боль унять | Сними её святой водой, | Не сможешь с гневом совладать, | Запей его водой святой.
Цену знай себе одну | Ты мелкая дешёвка | Друга сдай, продай жену | Пока есть сноровка
Тому минуты краткого участья | Пленительны и дивно хороши, | Кто на пороге призрачного счастья | Познал напев восторженной души.
Она – восторженность сама. | Она – блистает красотой. | И лёгкой живостью ума… | Не обладает никакой!
Жемчужных бусинок сиянье, | Мерцает небосвода гладь… | Коварной ночи обаянье | Под рясой прячется опять.
за два десятка лет, | прошедших стороной, | вдруг ощутил скелет - | сидящий под стеной.
От судьбы не убегу, | Но помилуй, Боже. | Без него я не смогу, | Да и с ним ведь тоже.
Я захлопнула створку | Горделиво окна. | И задёрнула шторку: | Пусть тоскует луна!
Как назвать Вас , не знаю, | Лишь могу преклоняться. | На олимп воздвигаю, | Чтобы вновь восхищаться.
Пусть в прозрачные дороги | Потечёт всей жизни дух, | Выйдя волнами тревоги, | Наполняя зрячий слух
На лужке пасётся стая | Жирных голубей, | Всё познавших, не взлетая, | Неба голубей
Белой птицей опустился | Тихий ласковы рассвет. | Парень с девушкой простился | Помня данный ей обед.
Прощай изношенное тело, | Ты истрепалось, жаль, вконец. | Тобой я правил неумело, | Но как величествен Творец!
Органная музыка ясной зари | Душу любовью светло наполняет. | Милый целуй, о любви говори, | Сердце моё пусть в нежности тает.
Сидит у окна и смотрит вдаль, | Пытаясь хоть немного вздремнуть. | И знаешь, есть ещё одна деталь - | Мне глаз от неё не оттянуть.
Хотел Опальный доползти, | Дойти до самой сути, | А стал он просто на пути, | Каплей ядовитой ртути.
И тебе я вручаю букет | И целую я пальцы твои. | Повстречаем сегодня рассвет | И стихи расскажу я свои.
Уходили мы на рассвете | взяв коня, за берег крутой. | И как светлая память о лете | куст калины над тихой рекой.
Чёрно-белый лес с утра уныл, | Камуфляжем цвета хаки мох. | За полгода лес давно забыл | Птичьей суеты переполох.
Крутится полсвета | по тебе толпой. | Крутится планета | прямо под тобой.
Перед начальством он холоп послушный, | Добряк и весельчак среди друзей, | А дома, для родных, – тиран бездушный. | Каков же ты без маски, лицедей?
В ночь укутанные стены, | Звездный купол потолка | Сновидений перемены, | Но не к лучшему пока…
Гаснут звёзды от лучей. | Ночь, умри перед рассветом. | Дунув на уют свечей, | новый день идёт с приветом.
Не горюй, | Что не успеть мне за тобой, | Не рискуй | Напрасно светлой головой!
Назад, к моим нетленным пешеходам! | Пусти назад, о, отворись, сезам! | Назад в метро, к подземным пешеходам! | Разгон, руль влево и - по тормозам!
Святому слава! - были те, | Кто сердцем принял Иисуса, | В Его духовной красоте | И тени не было искуса.
Где, нашей совести залог, | Унылое сознанье гложет: | Что не поможет некролог, | И Запад тоже не поможет.
Когда же вы угомонитесь? | Когда поймёте, наконец? | Как вы к чужому ни тянитесь, | Незваный гость, здесь не жилец.
а правда вскрылась, как нарыв | и потекла зловонным гноем. | я , в изумлении застыв, | прощалась навсегда с покоем.
Я вспоминал себя тогда. | Я шел тогда в морозы. | И возле льда.И возле льда. | Мои шептали грезы.
В потайных погребах темно, | Только цепи одни звенят. | Так у графа заведено, | Нам отходную не звонят.
Сходить на мультика премьеру, | Детишек в парке покатать. | Удариться в чужую веру, | Финансы штопать и латать.
То все нам удается, | За что б мы ни взялись, | А то посуда бьется - | Все к черту провались!
То, что как будто бы было всегда | Этот дом и местный уют | Лишь с интернетом тут только беда | И крысы в подвале снуют
Становятся вправду богаче | Не тьмы дорогие князья. | На жизнь ты посмотришь иначе, | Почувствуешь: рядом друзья.
Они же, суки, Вас терзают | И в клочья рвут строкой обиды. | Они любви другой не знают, | У них на жизнь другие виды.
В сверхумных твоих зеницах | Я вижу растёт вопрос. | Как видишь в моих зеницах | Ответ мой имеет спрос.
Прощает лишь боль я знаю | Была ли любовь прощаю | Мечты как цветы срываю | И вам под ноги бросаю
Но волшебная фея пришла, | И в принцессу – зиму превратила, | Хрустальные туфли ей отдала, | В белоснежный наряд нарядила.
От меня удача отвернулась, | С ней мы не встречаемся давно. | Лишь тоска зелёная вернулась | Пить со мною горькое вино.
Длинней семи десятков лет | в советской школе для примера | использовался шпингалет | весьма нелепого размера.
Мелькнёт за шторой слабый блик – | Как будто глянуло в просвет | Лицо, похожее на лик | За давностью прошедших лет.
И даже ветер, пробуя читать, | Поднимет ввысь записок мириады, | И кружит их, пытаясь воссоздать, | Всю тайнопись возвышенной тирады.
Так как критики губят писателей, | То лесов можно меньше рубить | На бумагу, – а значит, писателей | Надо все-таки чаще губить.
И чует вновь земля живая: | По ней, вбивая свой сапог, | Опять шагает мировая, | Как в сорок первом, на восток.
Сверху полок – самоварчик, | Где кипит страстей настой, | И ещё, заветный ларчик, | Где хранится мой покой.
Платья в пол — | Блеск очей. | Сцена: стол, | фраз, речей —
С Чёрным Сашей бы свыкнуться с ролью, | с той, что Муза швыряет порой, | и прижечь эту роль канифолью, | чтоб не спёр сей подарок другой.
Полюби себя, но лишь не через край. | Тяжело живётся и самовлюблённым. | Жизнь – игра, но ты её не заиграй, | Не стремясь к местам не столь чтоб отдалённым.
Завоет ветер, в окна будет биться, | В лачуге будет тихо и темно | И дождь пойдёт, и скроется лисица, | Ударит молния - и древо зажжено.
Неуклюже сидит берет, | и спадают на нос очки… | «Некрасивая!» - шепчут вслед | и хихикают в кулачки.
Разве нам не хватит лоскутов | пафоса Серебряного века | от многоступенчатых усов | до других достоинств человека.
Такие вечера – забвенье! | Внимание магнитят, взгляд – | В полнеба кумачём свеченье, | Торжественный чудо наряд!
С нетерпением, ждёт к себе в гости, | Чтобы стол, как на праздник, накрыть, | Но не выкажет капельки злости, | Коль о Ней умудрятся забыть.
Запахи осени переплетаются, | Нежно ласкаются между собой, | Шёпотом листья с ветвями прощаются- | В царство лесное приходит покой.
В этом мире тления | Постоянства нет - | Всюду изменения | Виден горький след.
Стал депутатом, | Денег навалом! | Ходит с мандатом, | Брезгует салом.
Редко сорвётся какой-нибудь лист, | Долго кружит и неслышно ложится. | Кажется, некий незримый стилист | Тронуть своё же творенье боится.
А значит есть всему конец | И казни будут нам не вечны | Иначе для чего Творец | Изрек просторы бесконечны
Вечность таращит пустые глазницы, | Сонмы мгновений слагая в века | Время ползёт сокрушая границы, | Плещутся воды, летят облака.
И ждет неторопливо, | Как очередь дойдет | И он, как взрослый, пиво | Немного отопьет.
При взгляде на букет-лишь умиленье | И губки растекаются улыбкой! | Магнит, услада, радость, притяженье, | Нырнуть в него бы золотистой рыбкой!
А на проталинах - цветами | Встречалась с талою зимой, | Тревожа время лепестками, | Живой пленяя красотой.
А теперь тяжелы на подъём | И живём друг от друга не близко. | и препятствия ищем кругом, | Чтобы день хоть прожить без риска.
Не важно – было ль то восстанье, | мятеж военных иль побег? | Из обречённых на закланье | спаслось полсотни человек!
И все отчётливей я понимаю: | Душа сейчас к зарядке не лежит. | И пятую котлету доедаю, | Ведь ЗОЖ не волк и в лес не убежит.
Соловьи давно запели, | Сумрак возвестя; | Струны робко зазвенели, - | Спи, мое дитя!
Как только свет я выключал - | Ко мне он быстро подлетал. | Ох, как противно он пищал, | Как будто в душу мне плевал.
Идти вперёд - из пустоты тоскливой? | Быть для Вселенной солнечной и звонкой? | Смешно остаться переспевшей сливой, | В периферии - мрачной шестеренкой.
Луна заполнит светом зал, | Мелодия с оркестра зазвучит, | Начнётся ровно в полночь бал, | Сам сатана их посетит.
Если это не надо – | Бог отменит маршрут; | Но большая досада - | Век валандаться тут.
Жена его померла | А сын без вестей пропал. | Старик ведь не делал зла | И всех за грехи прощал.
Князь собрал боярску Думу, | Рассадил всех за столом. | Было много сразу шуму | Но успокоились потом.
Коль в господах согласья нет, | на лад их дело не пойдёт. | У власти - криминалитет, | давно забыл он про народ.
Поэтому боялись | Во всех концах земли. | Нас истребить пытались, | Но, чаще - дань несли.
Подъём на рассвете, | Зарядка и душ. | И так на планете, | Живут много душ.
... то ли ночь в душе, то ли день. | Может быть и непогода. | Или вечерняя в ней тень, | Возможно до небосвода.
Где-то слышны визги тормозов, | Изредка сигналы звуковые. | Все летают среди облаков, | Позабыв, что «лётчики» земные.
И в наше время распускались. | И водку пили и коньяк. | И во все тяжкие пускались, | И похотливее собак
Всю отдавала себя без остатка, | Была лояльна, гибка, словно ветка. | Миг взлёта и экстренная посадка, | Ведь жизнь, она не сладкая конфетка.
Верить в чудо долины на миг, | Понимать этот мир без конца. | А теперь я — подсолнечный блик, | Твоя нежность в объятьях лица.
Есть в солёной живительной влаге | И любовь, и тоска, и нужда, | О которой пером на бумаге | Не напишет поэт никогда.
Тут же резко он поднялся | И стремглав покинул зал. | Словно кто-то уже гнался | Или что-то заказал.
Перекрестившись, я с постели встал | И не включая свет, пошёл по дому. | Да в жизни я такого не видал | Но я не удивился домовому.
Непрестанно я буду твердить | - постарайся подольше ты жить. | Постарайся подольше ты жить, | своих внуков, и внучек любить.
Чтоб трусы из зала летели, | Пока я читаю стихи, | Чтобы дифирамбы мне пели | Разномастные петухи
Продрать её со всем стараньем, | Как в браке, в первую же ночь! | А не управишься с заданьем, | Тогда ничем уж не помочь!
Моё желанье неизменно: | Мне бы хотелось передать | Своим потомкам непременно | Семьи своей любовь-тетрадь.
Шёл тот в Лилию влюбленный, | Дивным запахом маним, | Но любовью обделённый, | Как дорогой пилигрим.
Но время есть для увлечений, | Для рассуждений обо всём, | Изобретения лечений, | Пользы – мы много принесём!
Все хуже ему становилось, | Скрутило конечности враз, | Такая беда приключилась, | Кто вылечит прямо сейчас?
Всюду нелюдимый, | Здесь – я настоящий. | Край ты мой любимый, | Край ты мой звенящий!
Куски полей, капусты рвы, | Не видно мин из-за травы. | Не видно мин из-за травы, | Куски полей, капусты рвы.
Если папы фабриканты, | Если папы коммерсанты, | Будут дети аспиранты | И врачи, зачем таланты?!
В вышине влюбленно реет | Стайка сизых голубей. | День пред морем нежно млеет | В ожидании теней.
Стиснув зубы в личной злости, | кто в работе срок схватил, | словно в глотке чувство кости, | матерком всё возвратил.
Кукловод, судеб водитель, | чем ты грезишь там во сне? | Что за пьесу, Сочинитель, | ты придумал обо мне?
Дышать, любить и рядом оставаться, | Идти на встречу ветру и весне, | К любви, как к тайне мира, прикасаться | И грезить наяву или во сне.
Во тьме ночной шумит прибой. | Уходят мысли в никуда. | В душе покой, когда с тобой - | Всё остальное ерунда.
И я ее спокойно принимаю, | хотя и не звала, и не ждала, | и предлагаю закусить и чаю. | Что делать, если все-таки пришла.
Заменив её дурманом | Под напором гласности, | Стала жизнь в стране капканом | Век тому, для ясности.
ну почему только с тобой | я чувствовал такое счастье | ну почему, когда с другой | чувствую одно ненастье
Свобода сегодня не правая. | И правда сегодня не сила. | Какая-то падла двуглавая | Опять меня газом травила.
Но враг как видно не дремал, | И был застрелен в не угоду! | Ильич, который вёл штурвал, | И проложил тропу народу!
Не жаль души своей ни грамма, - | Но телу суждено истлеть. | Вернутся в землю – в этом драма, - | Без счастья, что желалось зреть.
На всё смотреть бы нам с улыбкой | Да жизнь как скорый пролетает | Любовь бывает часто зыбкой | Но счастье что она бывает
Фонтаны брызг на тротуаре, | В нём отражается пейзаж. | А ливень хлещет – он в ударе, | В картине - главный персонаж!
Месяц в озере купался, | Вечер таял сахарком. | Я с любимой обнимался, | Пил любовь, как крепкий ром.
Но, а я же шепчу, | Что люблю, нету сил! | Знать я очень хочу, | Что по-прежнему мил!
Почуять сладость на губах, | Тот лёгкий шлейф от аромата | Твоей любви, в твоих руках | И даже если в них утрата
Добром ответствую на нежность… | Но всход зари горящих глаз | Во мне рождает чувств безбрежность: | Мечты, надежды, взрыв – фугас!
Лето пахнет скошенной травой, | ПАрным молоком, краюшкой хлеба. | Дождиком стучит по мостовой. | И звездой роняет счастье с неба.
И теперь она бродит, | Окружённая тьмой. | И ночами приходит- | Ищет встречи со мной.
И увидел там погосты | и убогие кресты, | и венки там из коросты | или с черной бересты.
У судьбы такие трюки – | Что тебе цветы?! | А когда опустишь руки – | Не воитель ты.
Вам давно пора понять, | Что старикам, хренова, | Пора уж пенсию поднять, | Раз в пять, хотя бы, Вова!
У меня есть дверной звоночек, | Супруге снимающий стресс. | Пушистый и теплый комочек, | Красавец малыш пекинес.
Туман весеннего рассвета, | Расплывчатых, бессвязных снов. | Но засверкает скоро лето | На фоне солнечных костров!
Я и зеркало протерла, | Не меняется портрет. | Я взяла ее за горло - | Где подвох и в чем секрет?
Могу стихами изъясниться, | Вращая рифмой сяк и так. | Патентом новым похвалиться. | Но в написанье – не мастак!
В бараках дни казались Адом, | Когда пытался он заснуть, | Они всегда стояли рядом, | Все те, кого уж не вернуть.
Дай мне руку, не отпускай, | Обними и будь всегда рядом. | Никуда только не исчезай | И ласкай своим нежным взглядом.
О чём- то говорят, она внимает, | Фигурка стройная и светлый взгляд. | А он, высокий, деву опекает, | Каштаны томно свечками горят…
На каменьях под копытом, | На горе под колесом, | Иль во рву, водой размытом, | Под разобранным мостом.
Наша жизнь на земле мгновенна | И её мы легко прожигаем | Если правду сказать откровенно | Себе ад для души собираем
Разлился в брызгах фейерверк, | В дожде огнём переливаясь. | Салюта отсвет уж померк, | А тут мороз, в каплях купаясь.
Смиренный, плодоносный сад, | И в том саду дикой цветок - | Природы плод, красив и млад, | И цвет пригож, но одинок.
Вот я и умер, ну что ж, прощайся! | Над гробом охать – зачем, зачем?.. | Не убивайся, и зря не кайся - | При этой жизни я был ничем.
Мы больше полвека | Никак не хотим понимать, | Что жизнь человека | Сама по себе – благодать!
Прошу не грусти ты родная | Ведь я отошёл на часок | Тебя не забыть дорогая | Ведь мама в пустыне цветок.
И царапает ногтями | Дверь, ведущую в подвал. | Ночью пахнущей костями | Что и черт не своровал…
Поздравляю Вас всех от души! | С Новым годом и годом надежды. | Новый год - год Быка, поспеши. | Мы устали от крысы невежды.
Мне кажется, вдвоём легко, | Даже в молчаньи томном. | Читать друг друга глубоко | В мире прекрасном, тёмном.
Нам не ново в любви обжигаться, | принимая случайную страсть. | И о скалы её разбиваться, | и бросаться в отчаяния пасть.
И тревожно и печально, | Из окошек свет не льёт. | И к друзьям ходить банально | Очень редко стал народ.
Кто знает, что там будет летом? | Каков прогноз на каждый день? | Жизнь - это маятник с секретом, | Короткий миг, то - свет, то - тень.
В колдовстве она всё знала, | Ну что старухе нужно знать, | Про себя нам ты рассказала, | А удав тебя бы мог принять.
Скажите, господа в погонах, | Зачем мальчонке воевать? | Кому на трудных перегонах | С колен Россию поднимать?
Спокоен мир в присутствии зимы, | Да, в белизне всегда всё без греха, | И до прихода юной Костромы | Укрыла даль воздушная доха.
Сберегли тем честь страны, | Что не лучше в целом мире, | Для ужасной бороны, | Побывал он словно в тире
Мы рвёмся друг к другу | Под знаком Весов, | И ходим по кругу, | Как стрелки часов.
Парим как прежде над землёй | И наблюдаем сверху сказку, | Где рай как будто неземной | С лица снимает грусти маску.
А на деле соседка сказала, | От повторов успев рассердиться, | Что кота прошлым летом не стало, | Да бабулька никак не смирится.
От штормовой морской волны | На корабле стоят при качках, | А президент большой страны | По трапу ползал на корячках.
А свет, от рампы отражаясь, | Сжигает души у людей. | Актёр на сцене, расставаясь, | Не властен над судьбой своей.
Но ночью, секущей ветвями | Припухлости лунного лика, | Я снова отправлюсь путями | Бесплодно погибшего крика.
Зима её вернуть стараясь | Своё на ней срывало зло | Весна боится, опасаясь | Но верит в то, что повезло
Наполняя белой кровью, | Ноябрём и февралём , | Снег прощается с любовью, | Вперемешку, смесь с дождём.
Воспарил, махнув крылом - | небо путь ему укажет, | может, вспомнив о былом - | прилетит ко мне, расскажет
Затеряна в краю слепых мечтаний, | Не жажду лёгкой славы и почёта, | Среди судьбы неясных очертаний, | Не выношу холодного расчета.
Листвы последний, шумный бал | В тени усталого забора. | Крапиву в детстве там рубал | Корявой шпагой мушкетёра.
Сидит в нас доносительства начало | И жажда всё с изнанки проверять. | Когда бы наше сердце не стучало, | Ему бы можно было доверять.
Струится хлебный аромат , | Хлопочет маменька у печки , | Во сне мелькает пёстрый плат , | Торос уткнулся в берег речки . . .
Люблю тебя, ни капли не ревную, | Пытаясь хоть немножечко понять- | Ну разве можно женщину такую | Хотя бы в мыслях скомканных предать?
Разоблачивший подлеца | Еще об этом пожалеет! | Добить, домучить до конца - | Подлец ярится и звереет!
Детьми своими женщины гордятся, | Они же гениальные у всех, | Мужья никчёрту только не годятся, | Они все идиоты как на грех.
Любовь-болезнь, как мы страдаем | Как от зубной боли, не уснуть | И днём и ночью, всё мечтаем | Мы к ней прокладываем путь
