из нити | вьётся | канитель - # Вино иных октав...</s>
Мария в прошлом синхронистка - | В соревнованиях была, | И так не каждая артистка | Способна плавать, как она, # Стих о Марии Киселевой</s>
Увы! На разум нет надежды | И чудо не произойдёт! | На свет рождается, как видим, | От идиота – идиот! # Молитва Пресвятой Богородице</s>
Слова летают впусте, | И души ноют в грусти, | Но веточка привоя | Растет в сердцах обоих… # Чреззаборно</s>
Я сын твой кровный, страна моя родная, | душой и телом, преданный навек. | В Азербайджане с детства проживая, | считал, что я счастливый человек. # Я - азербайджанец</s>
ОН сквозь дымы и вой сирен | донёс до нас ПОБЕДЫ ЗНАМЯ. | У городов спасённых стен | сияет ВЕЧНЫМИ ОГНЯМИ! # Победитель!</s>
Я спрашивал: что хочешь от меня? | Но Ты молчал, а я пытался слушать. | Потом пошёл я в сердцевину дня, | Я просто шёл; мне становилось лучше. # Я слухом уха слышал о Тебе</s>
В три часа на остановке | Только шлюха и кондуктор. | Дева щупает обновки, | Как узлы в КБ конструктор. # Шлюха</s>
Его родина давно истекает смолой, | А сам скелет уже не молод. | Ведет к себе тонкой струной | Поглощающий умерший Город. # Мост из скелетов</s>
Атрибуты разные - | это только в помощь. | Главное - желание! | Остальное - мелочи. # Набросок собираемся в бассейн</s>
Небольшой секрет открою: | - Вот семейный капитал! | Нам помощницы – буренки, - | Саша муж вчера сказал. # Верба, Кнопа, Нюша, Ждана...</s>
Ты людям душу окрылил, | Оставил память,и немножко | Своей души.Ты возродил | Святую,русскую гармошку. # Памяти Заволокина</s>
Мне показалось, я не нужен | Общенья нет, мой дух простужен | Я был привязан к тебе, друг | Твой голос так спасал средь мук # Прости меня</s>
Сегодня - фарс, вчера -трагедия. | События все время повторяются. | Кошмар - вчера, сегодня все комедия. | Такой метаморфозе удивляемся! # Сегодня фарс...</s>
Где - то я встречал - | Другом может враг | Стать тебе, попал | Если ты впросак. # Предавать у нас могут лишь друзья...</s>
Каждый день для меня ты ближе, | А была далека как звезда. | Я уже твое сердце слышу, | И твоя оживает душа. # Поэт ночами не спит</s>
Ты знаешь, каково быть расстрелянным? | Трижды, четырежды, нет? | Ты знаешь, как это - быть съеденным? | Разорванным толщей планет? # Страшилка на ночь</s>
Не напомнит ни луж, ни ям. | Не напомнит осени слякоть. | Как бы ни был я к ней упрям, | Любит душу мою, моя память. # Память рисует...</s>
Капризный мальчишка слёзы теряет, | А мышка в ведёрко их собирает. | «Зачем тебе слёзы?»-«Да про запас, | А то вдруг воды не будет у нас!» # Мышка и мальчишка</s>
Смотри легко, как плещет водопад, | Как он летит к Земле с небес высоких. | Нас одевая в бархатный наряд, | Чтоб я писал волнительные строки!!! # Плещет водопад</s>
Старый тополь полюбил, | Берёзку молодую.... | Порох видно не остыл, | Вам о чём толкую... # Старый тополь</s>
Иоанна Богослова | Мне играть пришлось в кино!.. | Съёмки все прошли удачно, | Образ мне удался, но… # Молитвы Муч Агафии Палермской</s>
Где же любовь, мечты и старания, | Мир изменить, стать добрее, светлей, | Жизнь полюбить, позабыть все страдания, | Духом подняться, стать немного сильней. # Маска</s>
- Я уверена, что не напрасно. | Дорожить научила опасность, | Смехом мы зашивали уныние, | Становились родней и единее. | Иногда мы зовём это «опыт»… # Ненапрасное</s>
То ли ноги не идут. | То ли голова не рулит. | Мы стараемся, но труд. | Наш возможно не поймут. # Нас пытаются напрячь</s>
Лишь только тот кончил, она, | Ну, что? Удивлён? Свет включает. | Хозяйка? Ты, что ль? Вот те на! | Садовник, с ней встав, отвечает. # Про сексуальную проверку</s>
Вот, ждала и верила в Родного, | Он с собой ещё дружка привёл, | Ничего, в натуре, нет святого, | Просто натуральный произвол! # Остров Лесбос - звездопад удовольствия</s>
Здесь исток всего, всему начало | В каждом сердце детства уголок | Где однажды песня зазвучала, | Там никто не будет одинок. # Милые берёзовые рощи</s>
И пусть они летают и кружат в вышине | Знать все у нас нормально,они не на войне | И каждый день спокойно,идут они домой | Такой вот СВВАУЛ,крылатый винтовой # Две точки</s>
Всё, всё поет тебе о том, | Что Бог Творит наш Отчий дом. | Все в нем в Гармонии царит, | В ней Бесконечность говорит. # Вопрос-ответ</s>
Палестина - палец сына, | Перст она Христа. | Только он без нас не снимет | Мира труп с креста!.. # Цель всегда чиста</s>
Как-то раз буксир-толкач портовый | С именем великим «Марсельеза» | Груз буксировАл в открытом море | Вдалеке от берега уреза! # Молитвы Иконе Б-цы Неувядаемый цвет</s>
Слова играют – каламбурят, | Быть, может, намекают, балагурят… | Прием – игра на сходстве и контрасте, | И насморк, может, быть сморкастым… # Слова от третьего лица</s>
Прошу тебя, купи амнезиаки! | Давай не будем прыгать со скалы? | Уходим в небо тёмными следами; | Нам лучше быть рабами Сатаны? # Скала</s>
Вместе они веками стоят, | Равнодушно глядят на людей, | Много им есть что порассказать, | В головах острых куча идей. # далеко</s>
И как можно скорей | Смять отряды макрофагов – «егерей». | И заразить организм, пока, | У них есть время, и им не намяли бока. # Война микробов</s>
Защитники Отечества непоколебимы, | служат на границах Родины любимой. | На море во флоте,в небе на самолётах, | в танке,в пехоте всегда вы в почёте. # Был праздником в моём детстве день Красной армии</s>
Соломон сказал счастья постоянного нет | оно кусками разбросано по жизни нашей | вот в детстве меня мама  кормила в обед | счастливой сладкой рисовой кашей # Кусочки счастья</s>
Слеповат глуховат староват | И ужасный пробел воспитания | Да и в нужных местах маловат | Не терять вам со мною, сознания # шутка-ну какой из меня ловелас</s>
Но наутро просыпаться, | Утром на Луну не взвыть, | Буду всем я улыбаться, | Втайне от себя любить. # Зимние холода</s>
Часы пробили полночь. Ты войдешь, | Дрожа от предвкушенья, в белом платье | Открыв свой новый дар и удивляясь, | Что по-другому, заново, живешь # ночь</s>
Стояли  двое, глядя на реку. | Один седой и старый был, | Другой, придерживая за руку, | Ему о чём-то говорил. # Стояли двое, глядя на реку...</s>
Ведь не за что больше | Совсем зацепиться... | Последняя крепость,- | Привычка гордиться... # Привычка гордиться</s>
Великие князья Руси, | Под крики «Господи, спаси!», | Объединят людей на всей земле, | И бросят вызов надвигающейся тьме. # Куликово поле</s>
Набивали внаглую карманы, | В банках баксов уж не перечесть. | Воровать вор сроду не устанет, | Если это строго не пресечь. # О вредителях</s>
Куст ждал их каждую весну, | Дарил им розы аромат! | Они детей к нему водили, | Потом водили и внучат! # Молитва Иконе Богородицы Белыничская</s>
Вот и наступила, | весенняя распутица, | всё среди апреля, | всё среди весны. # Распутица</s>
С годами всё сотру в душе, | Что ты был прав пойму. | И боль, и страсть в своей душе | Я навсегда уйму. # Живу я лишь тобой</s>
В общем жизнь была - малина! | Но скажу Вам на правах | Потонувшего в рутине: | Жизнь прекрасна… не в сетях. # Мини-отчётик</s>
С благоговейною любовью, | Его Предтеча покрестил, | а дальше, то, что Он исполнить, | сюда на землю послан был. # И шёл Господь</s>
И нет, как кажется, | Страшнее | Её кричащей немоты!.. # Памятник Анне Ахматовой</s>
И скатилась по щеке слеза, | От тоски мне хочется кричать. | Почему нам заново нельзя | Наши отношения начать? # Любовь уходит...</s>
- Береги… сказал… - До возвращенья... | Он тебе поможет, в трудный час... | Прочь гони и страхи, и сомненья, | И судьба сведёт, с тобою, нас... # Девчоночья любовь</s>
Я однажды загадал желанье - | на своем проснуться корабле, | Что плывет по речке мирозданья | К приютившей ангелов Земле. # Я однажды загадал желанье</s>
Проходит всё... и братские народы | Однажды вспомнят, мать у них одна, | И их вражда противна Богу, | Её желает только Сатана. # С утра стучал...</s>
Трогательно - детские веснушки | У тебя в апреле на носу! | Я их как сокровище по жизни | В своём сердце трепетно несу! # Для меня ты пахнешь будто солнцем</s>
Белые подснежники, | В сердце тает лёд. | Лучи солнца - вестники, | Губы словно мёд! # Чудеса весны</s>
Служу я Господу, а Он, как мы, не в банке | Я, верным был, Его содержит банк | Бог по моим Советам стрельнул танком | И посадили, всех нас, в общий танк. # Русские сдавайтесь</s>
Туда, где правит  Сам ТВОРЕЦ, | Творит с Любовью МИР Вселенных. | Там царство любящих Сердец, | Витает  ДУХ там, ДУХ нетленный! # Святая русь</s>
Пусть будет всё , пусть мне всё снится | Умоется лицо росой | Но только пусть во мне случится | Всё , что ты делаешь со мной # С добрым утром, акварельное утро</s>
Поцелуй Вероники – | Неба чистого взор, | Птиц весенние крики – | С синевой разговор! # Поцелуй Вероники...</s>
Аппарат правительства ,дойный аппарат | Что же за вредительство этот маскарад | Вы удой считаете кормите народ , | А народ скитается , сам теперь сосёт. # Аппарат</s>
И ты не прочтёшь от меня ничего. | Я буду пытаться забыть тебя дальше. | Обрывки из памяти, взгляды, слова, | и всё, что тянуло к тебе меня раньше. # Дневник</s>
Пускай грешит, ночь вместе с нами | Пускай позволит нам понять | Какое сумашедшее цунами | В другу друге, сможем мы создать # Пускай грешит ночь, вместе с нами</s>
Не возвращайся,если не уверен | В том,что сумеешь то,что было,возвратить: | Для настоящего тот мир,что был,утерян - | Тому,что было,никогда уже не быть. # Для настоящего тот мир, что был, утерян...</s>
Я хочу быть замужем | За своим единственным, | Быть ему отрадою, | Солнышком лучистым. # За мужем</s>
Ещё не время плакать и терзаться, | Пусть слёзы льют сосульки и дожди. | Весна идёт и в ногу с ней идти стараться, | Ведь всё вернётся на круга свои. # Всё вернётся</s>
Ох, покой и безмятежность, | Городом подсвечен иней. | Хоть на улице так снежно, | Город тонет в царстве линий. # Атараксия</s>
Наш путь рискованный и трудный- | В глухом лесу по бездорожью... | Но выбирать мы не могли. | Надежда лишь на волю божью! # Молитвы Собору Иоанна Предтече Крестителя Господа</s>
Здесь всё прекрасно, | Как в Раю. | Роскошный сад и особняк, # Как сложно полюбить себя...</s>
Не ругайся маменька, | Счастлив будет сын. | Растопи нам каменку, | Еду не один # Выйду за околицу</s>
И над полем полусонным, | Где часовенка стоит, | Купол в торжестве бездонном: | Свет проявленный царит! # Свет рождественского чуда</s>
Был прав КанрЕги, утверждая, | Что всё зависит - от друзей, | Где  друг-начальник - вместо рая - | Важнее всяких панацЕй! # Карьера не от знаний и диплома, от знАчимых друзей</s>
Журавлиные стихли расклики. | А в лугах расскрипел коростель. | Златовласый под лунные блики | Вышел из лесу с дудочкой Лель. # Русалочья ночь</s>
Сделал праздник для души, | Захотев покушать, | Заказал себе сушИ, | А быть может сУши. # Суши на заказ</s>
Ты далека,и так близка | Была,была со мной всегда... | В кого влюбился я тогда?! # Влюбленность</s>
Заметает следы она и в курятнике. | Много совершает она там неприятностей! | Если на насесте было куриц десяток, | То стало нынче полпетуха в подарок. # Лиса</s>
Какой шикарный зимний день! | Сияет солнце в небе синем, | Снежок припорошил плетень, | Блестит на солнце синий иней. # Какой шикарный</s>
Обе дороги мне, обе снятся | Неизменно врозь, | Потому что в этой жизни знаться | Им не довелось. # Под знаком брака</s>
Все понимал про жизнь, но жертвой был азарта. | Так, ведь, поэт - отмечен музой. | Вот и судьба его легла как карта, - | И, путь земной скатился в лузу, | Как шарик по сукну большого бильярда. # Конюхи пегаса</s>
Чтоб враги России нашей | Прикусили языки! | Прекратили чушь пороть, | Здравым смыслам вопреки! # Молитвы по Усопшим Воинам!</s>
Увлечься, не злиться, | Чтобы с надеждой, | К добру стремиться | Захотелось прежде. # Радость вам будет</s>
Влагалища имеют, не как у наших дам? | По сути, нестандартного размера? | Ответил вождь. Да, правда! Проверил это сам! | Они ведь предназначены для хера! # Про нестандартные размеры</s>
Взбираются на гору альпинисты. | Но нет вершины, кто-то съел, возможно. | И дети ходят в школу не учиться, | а парты кушать, вкусно и несложно. # Планета шоколада</s>
Но молод был мой организм, | И быстро заживали раны. | Не раз вставал я на карниз, | Но жить хотелось, как ни странно… # В те годы из меня рвалось</s>
Все кровные, законные, | В рулетку прокручу. | На деньги пенсионные, | Хоть день, да покучу. # Срок дожития в России или немного о пенсионерах</s>
Скажи ,зачем душа так холодна, | Когда зимой холодный ветер завывает, | Когда и мысль холодная не знает, | Зачем седая жизнь на небо улетает, | Изведав страсти и достигнув дна? # Скажи, зачем душа так холодна</s>
В придачу к ней тебе желаем | Здоровой и счастливой быть, | А встречи дня рожденья в мае | До сотни лет своих продлить! # Бродить по лесу - наслажденье...</s>
Вода разбивалась о мельничный шлиц, | Крутила махину колёс. | Струились на тонкие спицы ключиц | Потоки волнистых волос. # Ты знала</s>
Вот сижу, тебе пишу, | Не нести стараясь чуши, | Всем лагман, а не лапшу | Вешать стал теперь на уши. # Диалог с Константином Совком</s>
Сегодня выбор мы имеем, | И все невзгоды одолеем. | Судьбу свою вершим сполна, | Лишь просим редко Небеса. # Сегодня выбор мы имеем</s>
Вера монаха в заветы просела | Честь на соборе Христа не спасти | Всё человечество в вечном затворе | Миродержители будут пасти # Юный Пегас</s>
Вдруг подумал я: А если | Прекратятся эти муки, | Не померкнет в жизни смысл? | Не помрём ли мы от скуки? # Молитвы Мучч Виктору, Зотику, Зинону, Акиндину, Се</s>
Он быстро превратит в слепца, | В глухого и в немого. | Вонзит без жалости в сердца, | Насквозь промокший холод. # Голод</s>
А дома ждут голодные коты; | А дома ждёт холодная постель; | А мне как прежде, нужен только ты; | Когда же ты отыщешь мою дверь?! # На пятой авеню</s>
Зачем меня ты убиваешь? | Ведь я и так едва жива. | Ты на звонки не отвечаешь | И говоришь, что я глупа. # Зачем?</s>
К солнышку тянутся веточки… | Снова весна! Вот и ладушки! | - С праздником, милые девочки, | дочери, матери, бабушки! # Поздравляю</s>
Но столько выдала стихов! | Пегас на всё был сам готов, | Но... обманув, иссяк в тумане, | И лучше – не страдать в обмане... # Инетная встреча</s>
Стоит избушка в два оконца, | Дымочек вьётся из трубы... | А значит отдых и тепло! | Нам не желать иной судьбы! # Молитвы Иконе Б-цы Царёвококшайская Мироносиц</s>
Но одного я не пойму | Что жадность бесконечна? | Зачем же столько одному?! | Ведь жизнь твоя не вечна? # Я утро доброе встречаю...</s>
А Яга ложки снова считает, | В третий раз уже счёт начинает: | - Эта ложка кота, | Эта для петуха! | А вот эта так дивно сверкает! # Русская сказка Баба-яга и жихарь</s>
Тебя здесь нет... Лишь образ твой... | И чувства спрятаны на дне.... | ....Не подвластны мы жизни законам, но | Память любви долго в сердце живет # Так начертано Судьбою...</s>
Ты не плачь за мою неудачу, | За утрату мою и беду. | Я сама за себя поплачу | И до финиша доползу. # Жизнь моя - фестиваль</s>
Ну почему с тобой мы вечно ссоримся, | И ,главное, совсем из ничего. | Возможно мы излишне беспокоимся | О нашей жизни,только и всего. # Ну, почему с тобой мы вечно ссоримся</s>
Не лаешь,а поёшь. | И не поёшь,а лаешь. | Весенний этот дождь | как милость принимаешь. # Последний день весны</s>
Ах, какими мы были счастливыми! | Время вечно - не брали в расчёт. | За годами седыми, дождливыми, | Понимаешь - назад не придёт. # Разболелась под утро головушка</s>
Привычка – вещь почти непоправимая. | Никак нельзя к разлуке привыкать! | Пока не поздно, надо нам, любимая, | Попробовать всё заново начать. # Четыре месяца в разлуке</s>
Мне не смешно. Ты знаешь, в чем причина? | Я не стремлюсь похожей быть на вас, нет, | Но, сказать по правде, если ты мужчина, | На улице ночами безопасней. # Второй пол</s>
Простились на море и чайки, | Немного заплакал и дождь. | Прощание в грусти печальной — | Нам ныне расстаться пришлось. # Три горсти на кладбище, слёзы...</s>
И мне… | Тебя было мало! | Где легко проходил я насквозь | За снежные... За перевалы... | Горячим касался и вскользь... # И мне Тебя было мало!</s>
Не вернётся прошлое, я знаю - | Тут и к бабке можно не ходить, | Только я всё чаще вспоминаю | Что сумела память сохранить. # За чертой</s>
И вот я чист, как в первый день рожденья. | Меня отец здесь на руки принял. | Он мыл меня, а я кричал и плакал. | Беспомощно ручонками махал. # Откровенные стихи</s>
О том, что мир с любовью мне готовит, | о том, что спрятал он в своих руках | не стану сам себя я беспокоить | до судорожной боли, что в висках # Все наоборот</s>
А вдруг и ты все также ждешь | Судьбы неведомую встречу | И вновь увидя упадешь | Своей ладонью мне на плечи.... # Встреча</s>
после меня останутся стихи - | слова несказанной молитвы | за безбожных, глупых, глухих | в ежедневных будничных битвах. # после меня останутся стихи</s>
Удар его был сложен и коварен, | Ведь если ранить - так наверняка | Продуман план был как у Влади Стебенс, | Его сейчас не помню даже я. # Что посеешь то и пожнёшь</s>
Всегда быть в форме – жизни постоянство… | Грех рассмотреть в оптический прицел… | Пост православный - не вегетарианство, | Молитва ради благородных дел. # Вчера...</s>
Идёт на убыль лава прений, | Но голос дрязг ещё силён. | Выходят символы гонений | Из незапамятных времён. # Мы чтим растоптанных на вскрике...</s>
А пока ещё январь | и придёт сюда февраль, | а весной растает лёд. | у воды - осоки ось. # Свежий ветер прилетал</s>
Всю високосную злость | Год уходящий  вложил | В свой ледяной крайний дождь, | Словно итог подводил # Прощальный високосный дождь</s>
Промокнёт небесным спиртом | Золотые лепестки, | Расцветут шершавым флиртом | Почек ранние соски. # Смерть - другая форма жизни</s>
Стать дровами - не худшая доля, | Чтобы после холодной порой | Жарким пламенем, пусть вместе с болью, | Обогреть мою память собой. # Берёза</s>
Экспедиция Подводных Работ | Особого Назначения… | И в каждом слове ритм живёт, | Как в строках стихотворения. # Эпрон</s>
Никогда и нигде, наверное, | Не найти мужчину мечты, | Чтоб ласкал,обнимал так нежно он, | Что сбывались бы все мечты. # Мужчина мечты</s>
Пусть совсем неярок свет и заговора сила, | Но если солнца больше нет, | Идет к концу твой жизненный сюжет, | То ведьма будет как светило. # Рухнули надежды, грезы все ушли</s>
Я люблю писать ночами песни, | Воспевая там друзей своих. | Грустно мне без вас, хоть тресни, | Тускло мне без вашей лести; # Домик серёжИК</s>
Невозможное | возможно...? | Недоступность | возможности... # Возможно...</s>
Рассказала про печную вьюшку. | Это вам не в Африке бананы, | Заменили вьюшку на буй-вьюшку. | Корабелы, лодок капитаны, # Письмо другу поэту в Архангельскую область из крым</s>
А экипаж заботами загружен, | Задерган, заморочен и простужен. | Пример на тему труд и капитал. # Венок сонетов</s>
Все кончено уже давно, | Тебя мне не видать. | Теперь по жизни я никто, | И трудно мне дышать. # Не твой герой</s>
Мы полюбили жизнь, во всех её оттенках, | А это-только мудрости дано. | Мы стали осторожнее в оценках, | Но, в планы жизни-много включено! # Мы ещё не старые</s>
Подняли мы на встречу солнцу лица, | На небе голубом их лики видим. | И капнет на гранит слеза- криница, | Мелькнёт обманчиво сплетенье  линий. # Линейские останцы Восточного Казахстана</s>
Начало славного пути, | Который должен был пройти, | Христос, | Чтоб человечество спасти | От грешных рабских слёз. # Вход Господа в Иерусалим</s>
У дома горка стала влажной, | Ботинки сырости полны, | Веселый ветерок, протяжный, | Пришел с восточной стороны. # В феврале</s>
Опять ветра в пустыне свищут, | Песок изжарен добела. | И только милые вещички | Напомнят мне -кем я была. # Затонувший Континент</s>
Даже посох новогодний | Потерял волшебный жест. | Лишь в крещенские морозы | Снег пришел, как Благовест. # Запоздалый снег</s>
Рае для влюблённых и поэтов | С вечным вдохновеньем перемен, | Я тебе поведаю о лете, | Только ты не думай о зиме. # О лете</s>
Стали жёны друзей провожать. | Начала одна плакать, рыдать, | А другая жена | Вовсе и не грустна, | Даже стала она хохотать. # Русская сказка Две жены</s>
Простая формула у счастья, | Она возникла не вчера: | - Встречаться надо и общаться, | Чтоб до небес было Добра! # Творцы мы сами настроения!</s>
- Много в жизни прошедшей случилось. | Лишь теперь понял: скучно я жил, | глупо тратил могучие силы… | - Так чего ж долго не приходил? # Диалог</s>
Сиділи поряд в першім класі | Маленьке Кошеня та Песик. | До знань були звірята ласі, | Любили й кашу геркулесну. # Урок арифметики</s>
Вот судьба насмешница | Пуще забавляется... | А судьба -то грешница | Словно в клетке мается. # Что ж я смалодушничал</s>
Городок засыпал в полутьме | После долгого дня в пыльном зное. | Проникал тусклый свет фонарей | В тесный двор,где прощаются двое. # Довоенный городок</s>
К праведности настоящей | Приводящий нас с тобой, | Твердость наша, сила наша, | Иисус – вот наше все. # Наше все</s>
Ходына был, друзья, шутя напишут, | не вылезал! из вражеских оков, | вериги нёс, - они ему всех ближе. | Ходына был ходок из ходоков! # Я о Ходыне вам поведую, ребята</s>
Снаружи кремень, мягкая внутри, | Никто не мог коснуться её сути, | Она боялась руку протянуть, | Переплести с собой так много судеб. # Биполярка</s>
Если Вы пришли под утро | грязный, пьяный и в помаде - | ничего не объясняйте, | пусть докажут, что достойны... # Если Вы пришли под утро</s>
Люда милая, не печалься, | Ты не злись, не горюй, не грусти. | Жизнь всегда разрывает на части, | Это лишь испытанья в пути. # Улыбкой сиять</s>
Из далёкого далёка, | Из-за три-девЯть земель, | Потрясло в мгновенье ока | Это фото... Словно  хмель | Взбудоражил мою память... # Из далёкого далёка</s>
И дрожь по телу | Бежать тогда не станет. | С любою темой | Мысль в Душу заглянет. # Телефонность отношений</s>
За окошком клён под ветром поник. | Под дождём на ветке мокнет синица… | Улететь бы на другой материк | И в Австралии сейчас очутиться! # Лонг-лист Конкурса - Путешествия</s>
В августе  ночью  звезды  очень  ярки. | Фосфорный   свет  исходит  от  небес. | Внизу   враги   и    чуткие   овчарки, | Родной,  но   оккупированный лес. # Пропал он без вести в сорок втором</s>
И, когда замолчал, | Сей - кровавый раздор, | Омертвело и поле | И Российский простор. # Одичание</s>
Но, как видно, время подошло; | Краски перешли в тона пастели, | И былое летнее тепло | Растворили белые метели. # Был мой мир безудержно цветным</s>
Хотя с ухабами дорога, | Нас трубы к радости зовут: | Мы стали лучше жить намного, | Чем свиньи грязные живут. # Мы стали лучше жить намного</s>
Ворует от голода нищий, | Из сахара уз жены врут мужьям. | И есть им прощение в следующей, | Где ждёт справедливейший Радамант. # Цикл</s>
Не потому, что он по крови нам родной, | И это в нас заложено природой, | А потому, что ТАК хорош он сам собой, | И днём, и ночью, и в любое время года. # Похвала</s>
На цветке сидит букашка, | Для неё он словно чашка, | В чашке этой поутру | Так легко найти росу. # Букашка</s>
Мир полон безразличья, суматох, | Брат брату враг, сапожник без сапог… | А я присяду у тиши ручья… | Послушаю стихи, что мне читает Бог… # Об аскетизме</s>
Знаю я, что пройдет и это, | Расцвет Ваше сердце вновь. | К Вам приду я с огромным букетом | И скажу про свою любовь. # Для Вас...</s>
Коль не умрет — | Обеднеет природа | А коли умрет | Даст много плода # Подсолнушек</s>
Сегодня нету мне прощенья, | Тебя уж не хватает так, | Что слезы стынут на щеках, | И страсть любви в моих глазах. | Стирает теплое мгновенье. # Спасибо, Скапен!</s>
А вторая собака, бойца | тыча носом, тихонько толкала. | Кровь лизала с ушей и лица, | Как щенка его оберегала. # Он очнулся в густой тишине...</s>
Какой пассаж – стихи мои слабы, | Но только те, что о тебе писала, | Возможно их вина – в частице «бы»? | И в этой фразе: «Если бы я знала…» # Когда-нибудь Какой мне прок Если бы я знала</s>
И возвращаются дремавшие досель | Под звездным саваном сокрытые навеки | Истории давно минувших дней, # Послание являя в отголосках</s>
Желаю, чтобы сбывались, | Сердечные мечты. | От счастья загорались, | Для Вас лучи звезды. # Пожелание влюблённым</s>
Аметисты, жемчуг тоже... | Восхитительный янтарь... | Змеевик мы носим... Очень | Будет нам он помогать. # Энергетика предмета</s>
В последний день предвестник лета | Решил приятно удивить - | Не стало с неба моросить, | Всё ждёт тепла, листвой одето. # Первое июня</s>
И каждый встречи ждет сейчас, | Чтоб не считать, часы, минуты, | И каждый рад,что хоть бы раз, | Сошлись в любви наши маршруты. # Давай не будем мы молчать</s>
Миль пардон, ах простите леди, | Можно вас пригласить на вальс, | Много лет были с вами соседи | И один посещали класс. # Летний бал</s>
Я не жалею ни о чем. | Что было— | С миром в прошлом | Оставляю. # так хорошо</s>
Уходи, убегай, ты не знаешь меня, | Что сокрыто за милою маской? | Не поймешь, уходи! Это все западня, | Не спасти меня доброю лаской. # Исповедь Дориана Грея</s>
Привычка - вторая натура, | а наглость - надежная шкура, | её не пробить, не содрать. # Если нечего делать!</s>
Перчатка на прощанье – мило, | Учитывая, что знакомство было | Сплетением рук на поручне в метро. | Вагон метнулся, как в плохом кино: # Черная перчатка</s>
Стальные ноги перекрестки протыкают, | Опущено забрало, шрамы на щеке, | Щитом прикрыт до неба. Пусть узнают: | Он воин Бога, меч у Господа в руке!!! # Оружие Господа, цикл Орден Света</s>
Пусть сердца в тревоге бьются. | Встреча, всё же, суждена. | Надо было бы проснуться... | Но ушла уже волна. # И разлуки наши любим</s>
Там,пьют ,ссорятся,плачут,и -снова, | Занимаются- Развратом,друг у друга на- глазах, | Меняясь- парами...Мне,всё-это-ГОСПОДЬ-показал, | Когда.Я!В-очередной- раз!Ущла,из-Жизни... # Живу!</s>
Пусть ветер будет мне попутчик. | Его я не стыжусь.Наградой будет | Выглядывать из-за тучи лучик,За | Который крепко держусь. # Не надо</s>
Пошёл уже, друзья, четвертый год, | Как я живу средь вас здесь, на Стихире. | Могла ль предугадать я сей исход, | Что будет мне комфортно в этом мире? # Священно это триединство...</s>
И вот ещё – плетение гармоний из семи энергий – | - вафсунткапласнилптэпуэгродаплавэддакабубвэ | пфлутаваэгдэваснагата  - | Это определение вечного двигателя # Вечный двигатель плетения гармоний</s>
